metric,value
node_labels,230558
unique_node_labels,3624
node_tokens,512752
node_vocab_size,3635
node_ttr,0.007089
pos_ADJ,67253
pos_ADP,16948
pos_ADV,4957
pos_CCONJ,3313
pos_CD,821
pos_DET,11986
pos_FW,397
pos_MD,711
pos_NOUN,383129
pos_PRON,360
pos_PROPN,298
pos_RP,69
pos_SYM,587
pos_TO,214
pos_VERB,21600
pos_WP,1
pos_WRB,108
node_rare_words,64
